spec,name,gaia_dr3,dr3_class,final_epoch,basis
campaigns/toi-5696-03.yaml,TOI-5696.03,3859284748342110208,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.8 mas, r(2000.0) 975.3 mas"
campaigns/toi-5719-01.yaml,TOI-5719.01,744610375504790912,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 2.1 mas, r(2000.0) 231.5 mas"
campaigns/toi-5745-01.yaml,TOI-5745.01,761081437645780864,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.8 mas, r(2000.0) 2701.2 mas"
campaigns/toi-5812-02.yaml,TOI-5812.02,2696613294311603584,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.7 mas, r(2000.0) 411.1 mas"
campaigns/toi-5870-01.yaml,TOI-5870.01,1742536509083998208,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 2.0 mas, r(2000.0) 273.7 mas"
campaigns/toi-5893-01.yaml,TOI-5893.01,1743373271792149760,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.5 mas, r(2000.0) 191.5 mas"
campaigns/toi-6085-01.yaml,TOI-6085.01,1723715034679751168,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.7 mas, r(2000.0) 738.6 mas"
campaigns/toi-6650-04.yaml,TOI-6650.04,2003378188041736320,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.9 mas, r(2000.0) 190.1 mas"
campaigns/toi-6653-01.yaml,TOI-6653.01,2800115065478177408,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.5 mas, r(2000.0) 5940.8 mas"
campaigns/toi-6663-01.yaml,TOI-6663.01,1132006667438853760,inconsistent,J2015.0,"DR3 propagated: r(2015.5) 7.7 mas, r(2000.0) 236.8 mas; direct match to Gaia DR1 1132006663145960960 (ref_epoch 2015.0) at 0.45 mas"
campaigns/toi-6664-01.yaml,TOI-6664.01,1071126158853591424,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.4 mas, r(2000.0) 801.6 mas"
campaigns/toi-6666-01-nss.yaml,TOI-6666.01,2223770483452673408,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.6 mas, r(2000.0) 572.3 mas"
campaigns/toi-6666-01.yaml,TOI-6666.01,2223770483452673408,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.6 mas, r(2000.0) 572.3 mas"
campaigns/toi-6667-01.yaml,TOI-6667.01,6507438682567821568,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.2 mas, r(2000.0) 1468.1 mas"
campaigns/toi-6670-01.yaml,TOI-6670.01,5324281398476375424,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.9 mas, r(2000.0) 428.7 mas"
campaigns/toi-6671-01.yaml,TOI-6671.01,6810533734371193216,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.9 mas, r(2000.0) 254.6 mas"
