spec,name,tic,ra_deg,dec_deg,epoch_label,position_source,tmag,query_utc,n_gaia,gaia_source_id,gaia_ra,gaia_dec,pmra,pmdec,parallax,g_mag,match_is_brightest,pm_total_masyr,shift_16yr_mas,res2015_ra_mas,res2015_dec_mas,res2015_mas,res2000_ra_mas,res2000_dec_mas,res2000_mas,epoch_class,reason,query_error
campaigns/toi-2634-01.yaml,TOI-2634.01,318812447,41.036551,3.910232,J2000.0,NASA Exoplanet Archive TOI table,10.9648,2026-09-25T21:26:11Z,1,5642251292706560,41.0365552377074,3.9102297503213577,35.19180557343749,-13.430418676284175,5.630600975252042,11.504886,True,37.667,602.680,2.376,1.384,2.749,547.849,-206.788,585.576,J2015.5,,
campaigns/toi-2666-01-nss.yaml,TOI-2666.01,170889511,139.480865,-3.387525,J2000.0,NASA Exoplanet Archive TOI table (via campaigns/toi-2666-01.yaml),,2026-09-25T21:26:25Z,2,3837451574150437120,139.48086811320957,-3.387533797195897,23.266507288090025,-63.897156035706935,30.979501829282864,7.5441976,True,68.001,1088.021,0.445,-0.279,0.525,361.076,-990.685,1054.434,J2015.5,,
campaigns/toi-2666-01.yaml,TOI-2666.01,170889511,139.480865,-3.387525,J2000.0,NASA Exoplanet Archive TOI table,6.9887,2026-09-25T21:26:25Z,2,3837451574150437120,139.48086811320957,-3.387533797195897,23.266507288090025,-63.897156035706935,30.979501829282864,7.5441976,True,68.001,1088.021,0.445,-0.279,0.525,361.076,-990.685,1054.434,J2015.5,,
campaigns/toi-285-01.yaml,TOI-285.01,220459976,74.697171,-56.393814,J2000.0,NASA Exoplanet Archive TOI table,12.1677,2026-09-25T21:26:39Z,1,4764216563561182336,74.6971723077462,-56.39380638356126,3.720196012018519,56.32946963779138,8.699861665515444,13.074303,True,56.452,903.235,-0.746,0.746,1.054,56.917,873.852,875.704,J2015.5,,
campaigns/toi-289-01.yaml,TOI-289.01,201292545,2.900716,-56.599679,J2000.0,NASA Exoplanet Archive TOI table,11.4483,2026-09-25T21:26:53Z,1,4919562197762515456,2.9007223703574354,-56.59968038331824,23.477768385275926,-10.089999960859416,2.1571718338247496,11.883986,True,25.554,408.866,-0.886,-0.065,0.888,363.020,-156.460,395.301,J2015.5,,
campaigns/toi-3500-02.yaml,TOI-3500.02,443666343,186.816884,-29.832996,J2000.0,NASA Exoplanet Archive TOI table,10.8298,2026-09-25T21:27:07Z,2,3471495415361216512,186.81687474397268,-29.833001532012972,-58.420124817211196,-38.4694510809713,5.196131707430711,11.346449,True,69.949,1119.178,-0.304,0.681,0.745,-905.816,-595.596,1084.084,J2015.5,,
campaigns/toi-3724-01.yaml,TOI-3724.01,143642240,80.425878,36.274635,J2000.0,NASA Exoplanet Archive TOI table,11.7012,2026-09-25T21:27:23Z,2,183985232046648576,80.42587919930365,36.27463215755006,6.686757809500141,-18.32107386586743,2.2759759793622596,12.136836,True,19.503,312.051,-0.137,1.072,1.081,103.507,-282.904,301.245,J2015.5,,
campaigns/toi-4187-02.yaml,TOI-4187.02,176780257,48.283944,-34.375416,J2000.0,NASA Exoplanet Archive TOI table,8.301,2026-09-25T21:27:36Z,1,5048187328587727744,48.28395875598646,-34.37541116498491,87.26479073700804,32.82087550957001,6.459488448738568,8.706218,True,93.233,1491.725,-0.212,-0.996,1.018,1352.392,507.728,1444.560,J2015.5,,
campaigns/toi-429-01.yaml,TOI-429.01,259592689,72.977308,-53.829626,J2000.0,NASA Exoplanet Archive TOI table,10.1672,2026-09-25T21:27:49Z,1,4777069717050967040,72.97731996067805,-53.829594391067076,50.00591377036217,223.63244509750848,8.331863659913965,10.695424,True,229.155,3666.482,-0.410,-1.976,2.018,774.682,3464.327,3549.886,J2015.5,,
campaigns/toi-4309-01.yaml,TOI-4309.01,56662591,158.578516,-9.162846,J2000.0,NASA Exoplanet Archive TOI table,9.456101,2026-09-25T21:28:02Z,1,3762126059756436480,158.57848964204902,-9.162835420980763,-186.93938502559524,76.63188127791528,13.14789225169492,9.985055,True,202.037,3232.585,0.208,0.231,0.311,-2897.352,1188.026,3131.462,J2015.5,,
campaigns/toi-4319-01.yaml,TOI-4319.01,157115010,100.971875,-43.892984,J2000.0,NASA Exoplanet Archive TOI table,10.82,2026-09-25T21:28:17Z,1,5556279417085330816,100.9718681880302,-43.89296971069519,-29.345781686875107,75.75692122069756,10.379426155405852,11.577026,True,81.242,1299.874,2.999,-13.563,13.891,-451.860,1160.669,1245.524,inconsistent,"neither epoch within tolerance, or not clearly separated",
