plntname,centralwavelng,bandwidth,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnratror,facility,instrument,plntranreflink
"GJ 1214 b",1.4250,,,,,,0.11693,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.4465,0.0230,1.351900,0.002900,-0.002900,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.4480,,,,,,0.11772,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.4695,0.0230,1.348200,0.002800,-0.002800,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.4710,,,,,,0.11663,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.4925,0.0230,1.351700,0.002800,-0.002800,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.4960,,,,,,0.11509,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.5155,0.0230,1.347900,0.002800,-0.002800,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.5170,,,,,,0.11635,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.5385,0.0230,1.351000,0.002800,-0.002800,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.5410,,,,,,0.11626,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.5615,0.0230,1.346900,0.002800,-0.002800,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.5640,,,,,,0.11681,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.5845,0.0230,1.342500,0.002800,-0.002800,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.5870,,,,,,0.11443,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.6075,0.0230,1.347300,0.002800,-0.002800,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.6100,,,,,,0.11631,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.6300,,,,,,0.11522,"Infrared Survey Facility","SIRIUS","<a refstr=NARITA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013PASJ...65...27N/abstract target=ref>Narita et al. 2013</a>"
"GJ 1214 b",1.6305,0.0230,1.347300,0.003000,-0.003000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.6330,,,,,,0.11620,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.6560,,,,,,0.11581,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.6900,,1.290000,0.050000,-0.043000,0,,"Canada-France-Hawaii Telescope","WIRCam","<a refstr=CROLL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...736...78C/abstract target=ref>Croll et al. 2011</a>"
"GJ 1214 b",2.1400,,,,,,0.11730,"The Southern Astrophysical Research Telescope","OSIRIS","<a refstr=C_AACUTE_CERES_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...565A...7C/abstract target=ref>C&aacute;ceres et al. 2014</a>"
"GJ 1214 b",2.1400,,,,,,0.11459,"Infrared Survey Facility","SIRIUS","<a refstr=NARITA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013PASJ...65...27N/abstract target=ref>Narita et al. 2013</a>"
"GJ 1214 b",2.1500,,1.424000,0.044000,-0.031000,0,,"Canada-France-Hawaii Telescope","WIRCam","<a refstr=CROLL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...736...78C/abstract target=ref>Croll et al. 2011</a>"
"GJ 1214 b",2.1500,,1.422000,0.032000,-0.034000,0,,"Canada-France-Hawaii Telescope","WIRCam","<a refstr=CROLL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...736...78C/abstract target=ref>Croll et al. 2011</a>"
"GJ 1214 b",2.1500,,1.459000,0.030000,-0.029000,0,,"Canada-France-Hawaii Telescope","WIRCam","<a refstr=CROLL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...736...78C/abstract target=ref>Croll et al. 2011</a>"
"GJ 1214 b",2.1500,,,,,,0.11890,"Nordic Optical Telescope","NOTCam","<a refstr=DE_MOOIJ_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...538A..46D/abstract target=ref>de Mooij et al. 2012</a>"
"GJ 1214 b",2.2700,,,,,,0.11620,"Isaac Newton Group's William Herschel Telescope","LIRIS","<a refstr=DE_MOOIJ_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...538A..46D/abstract target=ref>de Mooij et al. 2012</a>"
"GJ 1214 b",3.6000,,,,,,0.11760,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","<a refstr=D_EACUTE_SERT_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...731L..40D/abstract target=ref>D&eacute;sert et al. 2011</a>"
"GJ 1214 b",3.6000,,,,,,0.11638,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","<a refstr=GILLON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..21G/abstract target=ref> Gillon et al. 2014</a>"
"GJ 1214 b",3.6000,,,,,,0.11638,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","<a refstr=GILLON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..21G/abstract target=ref> Gillon et al. 2014</a>"
"GJ 1214 b",4.5000,,,,,,0.11630,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","<a refstr=D_EACUTE_SERT_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...731L..40D/abstract target=ref>D&eacute;sert et al. 2011</a>"
"GJ 1214 b",4.5000,,,,,,0.11694,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","<a refstr=GILLON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..21G/abstract target=ref> Gillon et al. 2014</a>"
"GJ 1214 b",4.5000,,,,,,0.11694,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","<a refstr=GILLON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..21G/abstract target=ref> Gillon et al. 2014</a>"
"HD 209458 b",0.3072,0.0088,,,,,0.12217,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.3247,0.0088,,,,,0.12240,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.3379,0.0044,,,,,0.12249,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.3467,0.0044,,,,,0.12258,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.3555,0.0044,,,,,0.12276,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.3643,0.0044,,,,,0.12281,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.3731,0.0044,,,,,0.12264,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.3797,0.0022,,,,,0.12168,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.3841,0.0022,,,,,0.12216,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.3885,0.0022,,,,,0.12243,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.3929,0.0022,,,,,0.12267,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.3973,0.0022,,,,,0.12151,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4017,0.0022,,,,,0.12194,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4061,0.0022,,,,,0.12209,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4105,0.0022,,,,,0.12198,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4149,0.0022,,,,,0.12177,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4193,0.0022,,,,,0.12220,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4237,0.0022,,,,,0.12163,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4281,0.0022,,,,,0.12226,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4325,0.0022,,,,,0.12157,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4369,0.0022,,,,,0.12150,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4413,0.0022,,,,,0.12124,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4457,0.0022,,,,,0.12158,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4501,0.0022,,,,,0.12202,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4545,0.0022,,,,,0.12175,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4589,0.0022,,,,,0.12148,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4633,0.0022,,,,,0.12122,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4677,0.0022,,,,,0.12179,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4721,0.0022,,,,,0.12174,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4765,0.0022,,,,,0.12148,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4809,0.0022,,,,,0.12077,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4853,0.0022,,,,,0.12164,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4897,0.0022,,,,,0.12146,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4941,0.0022,,,,,0.12091,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.4985,0.0022,,,,,0.12181,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5029,0.0022,,,,,0.12172,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5072,0.0022,,,,,0.12152,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5116,0.0022,,,,,0.12111,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5160,0.0022,,,,,0.12132,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5204,0.0022,,,,,0.12102,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5248,0.0022,,,,,0.12206,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5292,0.0022,,,,,0.12099,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5336,0.0022,,,,,0.12187,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5380,0.0022,,,,,0.12140,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5424,0.0022,,,,,0.12125,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5453,0.0039,,,,,0.12277,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5467,0.0022,,,,,0.12164,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5511,0.0022,,,,,0.12180,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5531,0.0039,,,,,0.12271,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5555,0.0022,,,,,0.12118,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5599,0.0022,,,,,0.12149,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5609,0.0039,,,,,0.12221,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5643,0.0022,,,,,0.12139,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5685,0.0022,,,,,0.12124,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5687,0.0039,,,,,0.12253,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5765,0.0039,,,,,0.12114,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5843,0.0039,,,,,0.12245,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5921,0.0039,,,,,0.12219,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.5999,0.0039,,,,,0.12271,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.6077,0.0039,,,,,0.12187,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.6155,0.0039,,,,,0.12209,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.6233,0.0039,,,,,0.12227,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.6311,0.0039,,,,,0.12210,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.6389,0.0039,,,,,0.12191,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.6467,0.0039,,,,,0.12126,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.6545,0.0039,,,,,0.12082,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.6623,0.0039,,,,,0.12203,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.6702,0.0039,,,,,0.12071,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.6780,0.0039,,,,,0.12133,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
