plntname,centralwavelng,bandwidth,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnratror,facility,instrument,plntranreflink
"WASP-12 b",1.1450,,1.413100,0.023500,-0.023500,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=MANDELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..128M/abstract target=ref>Mandell et al. 2013</a>"
"WASP-12 b",1.1470,0.0700,1.438600,0.004700,-0.004700,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...66K/abstract target=ref>Kreidberg et al. 2015</a>"
"WASP-12 b",1.1630,0.0520,,,,,0.11975,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>"
"WASP-12 b",1.1720,,1.421100,0.023200,-0.023200,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=MANDELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..128M/abstract target=ref>Mandell et al. 2013</a>"
"WASP-12 b",1.1750,0.0500,1.378000,0.011000,-0.011000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.1990,,1.430200,0.022400,-0.022400,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=MANDELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..128M/abstract target=ref>Mandell et al. 2013</a>"
"WASP-12 b",1.2150,0.0520,,,,,0.11902,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>"
"WASP-12 b",1.2165,0.0690,1.436500,0.004500,-0.004500,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...66K/abstract target=ref>Kreidberg et al. 2015</a>"
"WASP-12 b",1.2250,0.0500,1.387000,0.010000,-0.010000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.2260,,1.441700,0.022600,-0.022600,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=MANDELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..128M/abstract target=ref>Mandell et al. 2013</a>"
"WASP-12 b",1.2530,,1.437600,0.022400,-0.022400,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=MANDELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..128M/abstract target=ref>Mandell et al. 2013</a>"
"WASP-12 b",1.2670,0.0520,,,,,0.11912,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>"
"WASP-12 b",1.2750,0.0500,1.361000,0.009000,-0.009000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
