pl_name,spec_type,authors,num_datapoints,instrument,facility,minwavelng,maxwavelng,note,bibcode
"TRAPPIST-1 e","Transmission","Zhang et al. 2018",12,"Wide Field Camera 3","Hubble Space Telescope satellite",1.1442,1.6550,"from Table 13; G141; transit 7","2018AJ....156..178Z"
"TRAPPIST-1 e","Transmission","Zhang et al. 2018",12,"Wide Field Camera 3","Hubble Space Telescope satellite",1.1377,1.6485,"from Table 13; G141; transit 5","2018AJ....156..178Z"
"TRAPPIST-1 f","Transmission","Zhang et al. 2018",12,"Wide Field Camera 3","Hubble Space Telescope satellite",1.1408,1.6516,"from Table 13; G141; transit 6","2018AJ....156..178Z"
"TRAPPIST-1 g","Transmission","Wakeford et al. 2019",12,"Wide Field Camera 3","Hubble Space Telescope satellite",1.1375,1.6350,"Table 2, Joint Fit","2019AJ....157...11W"
"TRAPPIST-1 g","Transmission","Zhang et al. 2018",12,"Wide Field Camera 3","Hubble Space Telescope satellite",1.1377,1.6485,"from Table 13; G141; transit 4","2018AJ....156..178Z"
"TRAPPIST-1 h","Transmission","Gressier et al. 2022",18,"WFC3","Hubble Space Telescope satellite",1.1262,1.6237,"Table 2","2022A&A...658A.133G"
"WASP-12 b","Eclipse","Changeat et al. 2022",4,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.6000,8.0000,"Figure 2","2022ApJS..260....3C"
"WASP-12 b","Eclipse","Changeat et al. 2022",18,"Wide Field Camera 3","Hubble Space Telescope satellite",1.1262,1.6237,"Figure 2","2022ApJS..260....3C"
"WASP-12 b","Eclipse","Croll et al. 2011",3,"Wide-field Infrared Camera (WIRCam)","3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory",1.2530,2.1460,"eclipse depth taken from Abstract","2011AJ....141...30C"
"WASP-12 b","Eclipse","Croll et al. 2015",1,"WIRCam","3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory",1.0400,1.0400,"Table 5, WASP-12 Y band, Actual Eclipse Depth","2015ApJ...802...28C"
"WASP-12 b","Eclipse","Croll et al. 2015",1,"WIRCam","3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory",2.2200,2.2200,"Table 5, WASP-12 K_CONT band, Actual Eclipse Depth","2015ApJ...802...28C"
"WASP-12 b","Eclipse","Croll et al. 2015",1,"WIRCam","3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory",2.1500,2.1500,"Table 5, WASP-12 Ks band combined, Actual Eclipse","2015ApJ...802...28C"
"WASP-12 b","Eclipse","Crossfield et al. 2012",20,"SpeX","Infrared Telescope Facility",1.5375,2.3375,"Table 2","2012ApJ...746...46C"
"WASP-12 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",4.5000,4.5000,"AOR = 41587200, date is start time.","2023AJ....165..104D"
"WASP-12 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",4.5000,4.5000,"AOR = 41587456, date is start time.","2023AJ....165..104D"
"WASP-12 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",4.5000,4.5000,"AOR = 48015872, date is start time.","2023AJ....165..104D"
"WASP-12 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",4.5000,4.5000,"AOR = 66692608, date is start time.","2023AJ....165..104D"
"WASP-12 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",4.5000,4.5000,"AOR = 66692864, date is start time.","2023AJ....165..104D"
"WASP-12 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",4.5000,4.5000,"AOR = 28566016, date is start time.","2023AJ....165..104D"
"WASP-12 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",4.5000,4.5000,"AOR = 66693376, date is start time.","2023AJ....165..104D"
"WASP-12 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",4.5000,4.5000,"AOR = 66693120, date is start time.","2023AJ....165..104D"
"WASP-12 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.6000,3.6000,"AOR = 48015360, date is start time.","2023AJ....165..104D"
"WASP-12 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.6000,3.6000,"AOR = 48014848, date is start time.","2023AJ....165..104D"
"WASP-12 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.6000,3.6000,"AOR = 41260288, date is start time.","2023AJ....165..104D"
"WASP-12 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",4.5000,4.5000,"AOR = 39200000, date is start time.","2023AJ....165..104D"
