HR,Name,RAJ2000,DEJ2000,Vmag,B-V
1328," ",64.53416666666666,42.14111111111111,6.22,-0.08
1220," 45Eps Per",59.463333333333324,40.01027777777777,2.89,-0.18
986," ",49.44083333333332,39.28333333333333,5.96,0.07
1078," ",53.396249999999995,39.89944444444444,5.81,0.11
1097," ",54.500833333333325,42.583055555555546,6.42,-0.06
947," 28Ome Per",47.82249999999999,39.611666666666665,4.63,1.11
979," ",49.29749999999999,40.48333333333333,6.45,
966," ",48.73624999999999,42.50388888888888,6.07,1.07
923," ",46.33666666666666,40.582499999999996,6.05,1.01
936," 26Bet Per",47.04208333333332,40.95555555555555,2.12,-0.05
950," ",48.03999999999999,42.37611111111111,6.15,-0.09
1002," 32    Per",50.36041666666666,43.32944444444444,4.95,0.04
1072," ",53.16291666666666,44.85555555555555,6.41,0.03
1069," 36    Per",53.109583333333326,46.05694444444444,5.31,0.4
982," 30    Per",49.44749999999999,44.02499999999999,5.47,-0.06
973," ",49.01958333333333,45.345833333333324,6.16,1.67
1047," ",52.35916666666666,46.93777777777777,6.24,0.13
1135," 41Nu  Per",56.298333333333325,42.57861111111111,3.77,0.42
1170," ",57.28416666666666,43.96305555555555,6.02,0.29
1176," ",57.51874999999999,44.96777777777777,5.66,0.76
1141," ",56.49708333333333,45.68194444444444,5.66,-0.07
1130," ",56.17041666666666,46.09972222222222,6.11,0.28
1273," 48    Per",62.16541666666666,47.71249999999999,4.04,-0.03
1303," 51Mu  Per",63.72458333333333,48.40944444444444,4.14,0.95
1207," ",58.99249999999999,47.87138888888888,5.37,-0.08
1261," 47Lam Per",61.64583333333332,50.351388888888884,4.29,0.02
1122," 39Del Per",55.731249999999996,47.787499999999994,3.01,-0.13
1127," ",56.02666666666666,48.5236111111111,6.06,1.55
1063," ",53.03583333333333,48.0236111111111,5.47,-0.1
1087," 37Psi Per",54.122499999999995,48.19277777777777,4.23,-0.06
1052," 35Sig Per",52.64374999999999,47.99527777777777,4.36,1.35
1051," ",52.65416666666666,48.10361111111111,5.82,-0.04
1056," ",52.872499999999995,49.20972222222222,6.29,0.09
1059," ",52.954583333333325,49.400833333333324,6.39,0.09
1198," ",58.411249999999995,48.65055555555555,5.76,1.05
1210," 43    Per",59.15208333333332,50.69527777777777,5.28,0.41
1160," ",57.076249999999995,50.73666666666666,6.14,0.06
1434," 57    Per",68.35374999999999,43.06388888888888,6.09,0.38
1535," ",72.78875,48.74083333333333,5.66,0.99
1350," 53    Per",65.38833333333332,46.498888888888885,4.85,-0.03
1482," ",70.35041666666666,48.30083333333333,5.67,-0.02
1493," ",70.83999999999999,49.97388888888888,5.87,0.02
1561," ",74.02958333333332,52.86944444444444,5.75,0.11
1588,"  8    Cam",74.94291666666666,53.15555555555555,6.08,1.46
1546," ",73.29083333333332,52.84083333333333,6.41,
1568,"  7    Cam",74.32166666666666,53.752222222222215,4.47,-0.02
1925," ",85.33458333333333,53.481111111111105,6.23,0.84
2080," ",89.95041666666665,54.54722222222222,6.14,1.2
2079," ",89.94041666666665,55.320833333333326,6.44,0.31
1866," ",84.14666666666666,54.42888888888888,5.73,1.63
2029," 30Xi  Aur",88.71166666666666,55.70694444444444,4.99,0.05
1637,"  9    Aur",76.66916666666665,51.59777777777777,5.0,0.33
1692," ",78.68458333333332,53.21388888888888,6.2,0.07
1707," ",79.32416666666666,53.5861111111111,6.5,1.66
1941," 24    Cam",85.75666666666666,56.581666666666656,6.05,0.95
1969," 26    Cam",86.62666666666665,56.115555555555545,5.94,0.17
1828," 18    Cam",83.14083333333332,57.22111111111111,6.48,0.57
2006," 30    Cam",88.07249999999999,58.96416666666666,6.14,-0.04
2027," 31    Cam",88.74083333333333,59.88833333333333,5.2,0.02
1324," ",64.56083333333332,50.29555555555555,4.61,0.04
1330," ",64.80541666666666,50.04888888888888,5.45,0.22
1333," ",65.04791666666665,50.92083333333333,5.55,-0.01
1467,"  3    Cam",69.97791666666666,53.079722222222216,5.05,1.07
1466,"  2    Cam",69.99208333333333,53.47305555555555,5.35,0.32
1555,"  5    Cam",73.76291666666665,55.25916666666666,5.52,0.04
1417,"  1    Cam",68.0075,53.91083333333333,5.77,0.18
1515," ",72.02916666666665,55.60249999999999,6.26,
1314," ",64.17958333333333,53.61194444444444,5.19,0.05
1255," ",61.65249999999999,54.0086111111111,6.31,0.99
1276," ",62.34333333333333,54.82888888888888,6.18,
1342," ",65.46583333333332,56.50666666666666,5.88,
1511,"  4    Cam",72.00124999999998,56.75722222222221,5.3,0.25
1382," ",66.75375,57.58527777777777,6.32,0.04
1486," ",70.82541666666665,59.52083333333333,6.5,
1751," 16    Cam",80.86583333333333,57.54444444444444,5.28,-0.03
1719," 15    Cam",79.86583333333333,58.11722222222222,6.13,-0.03
1688," ",78.79708333333332,59.405555555555544,6.15,1.18
1943," 23    Cam",86.03583333333331,61.47666666666666,6.15,0.9
1622," 11    Cam",76.53541666666666,58.97249999999999,5.08,-0.08
1623," 12    Cam",76.55083333333333,59.021111111111104,6.08,1.12
1603," 10Bet Cam",75.85458333333332,60.44222222222221,4.03,0.92
1593," ",75.39958333333333,61.078055555555544,6.03,0.41
1624," ",76.62374999999999,61.169999999999995,6.04,1.37
1675," ",78.26333333333332,61.849999999999994,6.17,0.02
1720," ",80.09416666666665,62.653611111111104,5.61,1.75
1678," 14    Cam",78.38041666666666,62.69138888888888,6.5,0.21
1976," ",87.27041666666665,62.80805555555555,6.13,
1802," 17    Cam",82.54249999999999,63.06722222222221,5.42,1.71
1857," 19    Cam",84.31291666666665,64.15472222222222,6.15,0.01
2041," ",89.39583333333331,66.0961111111111,6.25,1.36
407," ",21.398749999999996,23.511666666666663,6.18,0.43
484," ",25.326666666666664,25.74583333333333,6.17,0.44
360," 85Phi Psc",18.43708333333333,24.583611111111107,4.65,1.04
383," 90Ups Psc",19.866666666666664,27.264166666666664,4.76,0.03
564," ",29.432499999999997,27.804444444444442,5.82,1.6
544,"  2Alp Tri",28.270416666666662,29.578888888888883,3.41,0.49
642,"  6    Tri",33.09291666666666,30.303055555555552,4.94,0.78
485," ",25.41333333333333,30.047222222222217,5.99,1.01
523," ",27.17333333333333,32.69027777777777,5.79,0.55
503," ",25.95833333333333,32.19166666666666,6.34,
341," ",17.58083333333333,25.457777777777775,5.8,1.47
389," 91    Psc",20.28083333333333,28.73805555555555,5.23,1.39
363," ",18.520833333333332,28.52972222222222,6.43,1.7
