hpx,n,x,y,z
1605,53,-0.4990417496142562,0.6394846630527877,0.584647306773979
1880,58,-0.40246027327897776,0.13607117564661603,0.9051540109058142
10112,271,-0.487001311306596,0.7294097656638715,-0.48022065404576897
2763,34,-0.6246253269533639,-0.1680373475178969,0.7625017750135384
10241,99,-0.019890072233761345,-0.046484877232809085,-0.998625736037154
2066,47,-0.6492423478685745,-0.7500122158673447,0.12576624453391688
1237,46,-0.7091711080406212,0.4966258774059066,0.5002850727253861
88,56,0.4898930915835366,0.8135830121268953,0.31291038627686624
11308,71,0.09819992439256164,-0.2059389572598707,-0.9735312696548728
11873,89,0.3362271294008313,-0.6226035884432731,-0.7064830916515192
5112,70,0.8257821840663011,-0.040762865122578686,0.5623702851167667
710,150,0.6236150344262716,0.23739233356316747,0.7446849340459073
26,31,0.6779817912817266,0.7155666885234554,0.16771419158977346
1087,59,-0.671276286653466,0.6723942557863596,0.31162660726756175
2753,37,-0.6527486594239871,-0.27076408406036057,0.7073823670339484
7171,398,2.3416202459577463E-4,-0.79682410285427,-0.6040623838585353
9937,225,-0.41541205208079585,0.7310082478316493,-0.5411982645501411
9465,239,-0.45788634076624773,0.48567195520401546,-0.7444919687706939
2188,36,-0.8006846664233379,-0.5347587725657871,0.2697400408084849
1225,55,-0.624726282014216,0.6601784166043895,0.41678750474494
1684,103,-0.25669871113759857,0.7198987380678089,0.6447218567263366
9166,50,0.7082695067451701,0.6745739507297652,-0.20772906009644498
4040,89,0.20312500363821237,-0.2570836995770374,0.9446998607434272
6457,42,-0.9292732964948739,-0.35987555752866696,-0.08254085857977327
5470,98,-0.6141740787199409,0.7879414231451564,0.04195588164067909
8812,37,0.6741224124442863,0.3601016977911554,-0.6447518753983585
10547,218,-0.2052007501836662,-0.6147048905576621,-0.7614475718116324
6180,82,-0.8523634060372846,0.042532844067730356,-0.521046696908868
7169,339,0.01928715014107692,-0.7810372952374899,-0.6240445228627018
3908,166,0.474047714481893,-0.206183374718982,0.8558949434533818
9027,42,0.4984235087255416,0.7479422591130305,-0.4381994388223622
3500,209,0.5635198750521293,-0.4576204216737382,0.6876415002273674
7507,100,0.6335065472954289,-0.7733693550449297,-0.01983975979264955
3249,246,0.5341297741626853,-0.7576540324692835,0.37483308234726725
5631,136,-0.3636057017111008,0.8774507606860671,0.31256397750964415
7579,116,0.24402028488782382,-0.9694263460795112,0.021895063083738883
1911,42,-0.2764752544147944,0.01882266138923395,0.9607302538081228
1495,44,-0.5600314492525187,0.01786053985366402,0.8281253595167848
3533,289,0.603131130530958,-0.16823838599391172,0.7795644938780013
5369,102,0.024549928042202556,0.9962758886887627,-0.08164761191819359
6255,42,-0.9578770215379364,-0.09387454487078618,-0.27105835888530216
11940,236,0.09165160813451873,-0.7202895747392997,-0.687417696424323
5896,116,0.04879818211333342,0.9966444539649192,0.06442301935999531
11027,109,-0.5413520283202796,-0.6595426616379779,-0.5213268309018475
3857,316,0.5047479947240212,-0.3698240093118279,0.7799211526054115
5975,127,-0.31512006412939103,0.8806451655271926,0.3535633146527911
6269,38,-0.9538696836172648,-0.21355009057308,-0.21055385946815572
7444,125,0.5062242349389913,-0.8418486788952506,-0.18670243377665144
3267,151,0.6488824347795407,-0.6495391502819539,0.3960794237315138
7495,145,0.5954579139475586,-0.8008711127864222,-0.0621170072025695
10229,78,-0.7542124170104949,0.6513797730365898,-0.08190822839595747
5354,74,0.16936808710599682,0.971255475948624,-0.16676777188581976
