plntname,centralwavelng,bandwidth,especlipdep,especlipdeperr1,especlipdeperr2,especlipdeplim,espbritemp,espbritemperr1,espbritemperr2,espbritemplim,facility,instrument,note,plntreflink
"HD 209458 b",1.2040,0.0520,0.009700,0.001500,-0.001500,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 2","<a refstr=LINE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..203L/abstract target=ref>Line et al. 2016</a>"
"HD 209458 b",1.2560,0.0520,0.011500,0.001500,-0.001500,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 2","<a refstr=LINE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..203L/abstract target=ref>Line et al. 2016</a>"
"HD 209458 b",1.3080,0.0530,0.010900,0.001500,-0.001500,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 2","<a refstr=LINE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..203L/abstract target=ref>Line et al. 2016</a>"
"HD 209458 b",1.3610,0.0530,0.008000,0.001500,-0.001500,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 2","<a refstr=LINE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..203L/abstract target=ref>Line et al. 2016</a>"
"HD 209458 b",1.4140,0.0520,0.004300,0.001500,-0.001500,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 2","<a refstr=LINE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..203L/abstract target=ref>Line et al. 2016</a>"
"HD 209458 b",1.4660,0.0520,0.008600,0.001500,-0.001500,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 2","<a refstr=LINE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..203L/abstract target=ref>Line et al. 2016</a>"
"HD 209458 b",1.5180,0.0530,0.010700,0.001700,-0.001700,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 2","<a refstr=LINE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..203L/abstract target=ref>Line et al. 2016</a>"
"HD 209458 b",1.5710,0.0530,0.016700,0.001700,-0.001700,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 2","<a refstr=LINE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..203L/abstract target=ref>Line et al. 2016</a>"
"HD 209458 b",1.6240,0.0520,0.017000,0.001800,-0.001800,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 2","<a refstr=LINE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..203L/abstract target=ref>Line et al. 2016</a>"
"HD 209458 b",3.6000,,0.106000,0.007000,-0.008000,0,1515,34,-37,0,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","Table 4, 2014 Feb 17","<a refstr=EVANS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.451..680E/abstract target=ref>Evans et al. 2015</a>"
"HD 209458 b",3.6000,,0.094000,0.009000,-0.009000,0,,,,,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","Table 1","<a refstr=KNUTSON_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...673..526K/abstract target=ref>Knutson et al. 2008</a>"
"HD 209458 b",3.6000,,0.119000,0.007000,-0.007000,0,,,,,"Spitzer Space Telescope","Infrared Array Camera (IRAC)","eclipse depth taken from Abstract","<a refstr=DIAMOND_LOWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...796...66D/abstract target=ref>Diamond-Lowe et al. 2014</a>"
"HD 209458 b",4.5000,,0.213000,0.015000,-0.015000,0,,,,,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","Table 1","<a refstr=KNUTSON_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...673..526K/abstract target=ref>Knutson et al. 2008</a>"
"HD 209458 b",4.5000,,0.123000,0.006000,-0.006000,0,,,,,"Spitzer Space Telescope","Infrared Array Camera (IRAC)","eclipse depth taken from Abstract","<a refstr=DIAMOND_LOWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...796...66D/abstract target=ref>Diamond-Lowe et al. 2014</a>"
"HD 209458 b",4.5000,,0.133000,0.011000,-0.011000,0,1426,47,-48,0,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","Table 4, 2010 Jan 21","<a refstr=EVANS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.451..680E/abstract target=ref>Evans et al. 2015</a>"
"HD 209458 b",4.5000,,0.139100,0.007200,-0.006900,0,1499,15,-15,0,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","eclipse depth taken from Abstract","<a refstr=ZELLEM_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...790...53Z/abstract target=ref>Zellem et al. 2014</a>"
"HD 209458 b",5.8000,,0.134000,0.035000,-0.035000,0,,,,,"Spitzer Space Telescope","Infrared Array Camera (IRAC)","eclipse depth taken from Abstract","<a refstr=DIAMOND_LOWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...796...66D/abstract target=ref>Diamond-Lowe et al. 2014</a>"
"HD 209458 b",5.8000,,0.301000,0.043000,-0.043000,0,,,,,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","Table 1","<a refstr=KNUTSON_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...673..526K/abstract target=ref>Knutson et al. 2008</a>"
"HD 209458 b",5.8000,,0.142000,0.059000,-0.058000,0,1297,225,-220,0,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","Table 4, 2005 Nov 28","<a refstr=EVANS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.451..680E/abstract target=ref>Evans et al. 2015</a>"
"HD 209458 b",8.0000,,0.215000,0.008000,-0.008000,0,,,,,"Spitzer Space Telescope","Infrared Array Camera (IRAC)","eclipse depth taken from Abstract","<a refstr=DIAMOND_LOWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...796...66D/abstract target=ref>Diamond-Lowe et al. 2014</a>"
"HD 209458 b",8.0000,,0.215000,0.012000,-0.012000,0,1397,41,-43,0,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","Table 4, 2007 Dec 25","<a refstr=EVANS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.451..680E/abstract target=ref>Evans et al. 2015</a>"
"HD 209458 b",8.0000,,0.240000,0.026000,-0.026000,0,,,,,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","Table 1","<a refstr=KNUTSON_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...673..526K/abstract target=ref>Knutson et al. 2008</a>"
"HD 209458 b",24.0000,,0.338000,0.026000,-0.026000,0,1320,80,-80,0,"Spitzer Space Telescope satellite","Multiband Imaging Photometer (MIPS)","B. temperature from abstract/text, not Table 5","<a refstr=CROSSFIELD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...752...81C/abstract target=ref>Crossfield et al. 2012</a>"
"TRAPPIST-1 b",15.0000,3.0000,0.086100,0.009900,-0.009900,0,503,26,-27,0,"NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission","Mid-Infrared Instrument (MIRI)",,"<a refstr=GREENE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230314849G/abstract target=ref>Greene et al. 2023</a>"
"WASP-12 b",0.9000,,0.082000,0.015000,-0.015000,0,3028,99,-110,0,"Astrophysical Research Consortium (ARC) 3.5m Telescope At Apache Point Observatory (APO)","Seaver Prototype Imaging camera (SPICam)","text, Section 3, 2nd paragraph","<a refstr=L_OACUTE_PEZ_MORALES_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...716L..36L/abstract target=ref>L&oacute;pez-Morales et al. 2010</a>"
"WASP-12 b",1.0400,,0.109000,0.014000,-0.014000,0,,,,,"3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory","WIRCam","Table 5, WASP-12 Y band, Actual Eclipse Depth","<a refstr=CROLL_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...28C/abstract target=ref>Croll et al. 2015</a>"
"WASP-12 b",1.1250,0.0500,0.119000,0.017000,-0.017000,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>"
