TIME_stored,BJD_like,QUALITY,SAP_FLUX,PDCSAP_FLUX,SAP_frac_resid_2d,PDCSAP_frac_resid_2d
2.485197819053365038e+03,2.459485197819053195e+06,4.096000000000000000e+03,4.854056640625000000e+03,nan,nan,nan
2.485199208072041529e+03,2.459485199208071921e+06,4.096000000000000000e+03,4.850871093750000000e+03,nan,nan,nan
2.485200597090702558e+03,2.459485200597090647e+06,4.096000000000000000e+03,4.877042480468750000e+03,nan,nan,nan
2.485201986109364498e+03,2.459485201986109372e+06,4.096000000000000000e+03,4.866420898437500000e+03,nan,nan,nan
2.485203375128025527e+03,2.459485203375128098e+06,4.096000000000000000e+03,4.885573730468750000e+03,nan,nan,nan
2.485204764146687467e+03,2.459485204764146823e+06,4.096000000000000000e+03,4.866785156250000000e+03,nan,nan,nan
2.485206153165334854e+03,2.459485206153165549e+06,4.096000000000000000e+03,4.875893554687500000e+03,nan,nan,nan
2.485207542183996793e+03,2.459485207542183809e+06,4.096000000000000000e+03,4.838156250000000000e+03,nan,nan,nan
2.485208931202643271e+03,2.459485208931202535e+06,4.096000000000000000e+03,4.858425292968750000e+03,nan,nan,nan
2.485210320221290658e+03,2.459485210320221260e+06,4.096000000000000000e+03,4.876836914062500000e+03,nan,nan,nan
2.485211709239922584e+03,2.459485211709239986e+06,4.096000000000000000e+03,4.861355957031250000e+03,nan,nan,nan
2.485213098258569971e+03,2.459485213098258711e+06,4.096000000000000000e+03,4.864357421875000000e+03,nan,nan,nan
2.485214487277201442e+03,2.459485214487276971e+06,4.096000000000000000e+03,4.862885253906250000e+03,nan,nan,nan
2.485215876295832913e+03,2.459485215876295697e+06,4.096000000000000000e+03,4.867561523437500000e+03,nan,nan,nan
2.485217265314465749e+03,2.459485217265314423e+06,4.096000000000000000e+03,4.844993652343750000e+03,nan,nan,nan
2.485218654333097675e+03,2.459485218654333148e+06,4.096000000000000000e+03,4.880797363281250000e+03,nan,nan,nan
2.485220043351715958e+03,2.459485220043351874e+06,4.096000000000000000e+03,4.862136230468750000e+03,nan,nan,nan
2.485221432370333332e+03,2.459485221432370134e+06,4.096000000000000000e+03,4.865281738281250000e+03,nan,nan,nan
2.485222821388950706e+03,2.459485222821388859e+06,4.096000000000000000e+03,4.869429199218750000e+03,nan,nan,nan
2.485224210407569444e+03,2.459485224210407585e+06,4.096000000000000000e+03,4.875687500000000000e+03,nan,nan,nan
2.485225599426188182e+03,2.459485225599426311e+06,4.096000000000000000e+03,4.874132812500000000e+03,nan,nan,nan
2.485226988444791004e+03,2.459485226988444570e+06,4.096000000000000000e+03,4.871019042968750000e+03,nan,nan,nan
2.485228377463409288e+03,2.459485228377463296e+06,4.096000000000000000e+03,4.881050292968750000e+03,nan,nan,nan
2.485229766482012110e+03,2.459485229766482022e+06,4.096000000000000000e+03,4.872273925781250000e+03,nan,nan,nan
2.485231155500601290e+03,2.459485231155500747e+06,4.096000000000000000e+03,4.875055664062500000e+03,nan,nan,nan
2.485232544519204112e+03,2.459485232544519007e+06,4.096000000000000000e+03,4.850346679687500000e+03,nan,nan,nan
2.485233933537807843e+03,2.459485233933537733e+06,4.096000000000000000e+03,4.857725097656250000e+03,nan,nan,nan
2.485235322556396113e+03,2.459485235322556458e+06,4.096000000000000000e+03,4.863256835937500000e+03,nan,nan,nan
