name,tic,ra_deg,dec_deg,tmag,depth_ppm,duration_h,t0_bjd,disposition,toi_rowupdate,score,rationale,rank
TOI-6125.01,404516402,334.899052,12.356411,12.8119,18595.0,1.963,2459849.022331,PC,2025-10-11 12:03:41,7136.353134757056,"depth 18595 ppm, duration 1.96 h, Tmag 12.81 → score 7136",816
TOI-6153.01,411343008,337.28967,20.53513,12.9172,15619.0,3.064,2459848.656116,PC,2024-08-22 10:08:01,7134.402470409404,"depth 15619 ppm, duration 3.06 h, Tmag 12.92 → score 7134",817
TOI-1352.01,336740528,334.738559,61.148988,10.4209,5100.0,2.882,2460604.777484,APC,2025-04-30 16:00:02,7132.424191094486,"depth 5100 ppm, duration 2.88 h, Tmag 10.42 → score 7132",818
TOI-330.01,27966179,358.751682,-22.538908,12.8696,17011.2798568,2.4641339,2459091.763748,PC,2024-04-25 10:08:01,7122.773611920969,"depth 17011 ppm, duration 2.46 h, Tmag 12.87 → score 7123",819
TOI-6734.01,412666676,262.96928,-48.371167,13.0013,15647.0,3.286,2460114.258841,PC,2025-07-22 12:04:25,7120.407715567881,"depth 15647 ppm, duration 3.29 h, Tmag 13.00 → score 7120",820
TOI-4228.01,415143674,114.566022,-23.804576,13.5444,14130.5442597,6.6297461,2459965.252097,PC,2024-09-10 10:08:02,7112.582844928755,"depth 14131 ppm, duration 6.63 h, Tmag 13.54 → score 7113",821
TOI-5414.01,371164829,109.367805,31.481846,14.3554,26560.0,3.957,2459529.149554,PC,2024-08-22 10:08:01,7109.369649581263,"depth 26560 ppm, duration 3.96 h, Tmag 14.36 → score 7109",822
TOI-2888.01,80713983,121.957411,-45.377044,11.1893,9198.260437,1.7861148,2459966.507331,PC,2024-09-06 10:08:02,7108.866957212397,"depth 9198 ppm, duration 1.79 h, Tmag 11.19 → score 7109",823
TOI-7535.01,60527976,96.653706,-18.922749,12.7289,11448.0793188,4.7346415,2460687.056745,PC,2025-10-31 12:04:28,7089.182880245012,"depth 11448 ppm, duration 4.73 h, Tmag 12.73 → score 7089",824
TOI-2450.01,408114363,77.952525,6.795745,11.4894,6750.4878782,4.3420932,2459179.177363,PC,2021-10-29 12:59:15,7084.427044161999,"depth 6750 ppm, duration 4.34 h, Tmag 11.49 → score 7084",825
TOI-3738.01,312689217,88.985589,34.265809,12.1502,8783.8532254,4.7104727,2459474.306264,PC,2024-09-10 10:08:02,7082.348869312435,"depth 8784 ppm, duration 4.71 h, Tmag 12.15 → score 7082",826
TOI-3404.01,18795429,138.098314,-33.256815,12.7435,15750.0,2.529,2459276.822863,PC,2024-08-22 10:08:01,7080.354015109854,"depth 15750 ppm, duration 2.53 h, Tmag 12.74 → score 7080",827
TOI-5835.01,346859243,280.858907,21.869776,13.0949,16970.0,3.007,2459795.463879,PC,2026-06-30 12:03:36,7075.68607378709,"depth 16970 ppm, duration 3.01 h, Tmag 13.09 → score 7076",828
TOI-2532.01,20579360,201.167653,-19.89616,12.646,11640.0,4.223,2459311.204445,PC,2023-01-24 16:02:02,7072.346350709457,"depth 11640 ppm, duration 4.22 h, Tmag 12.65 → score 7072",829
TOI-3929.01,422554579,346.474955,67.188469,13.2363,16514.0,3.608,2459909.656029,PC,2025-09-12 12:03:35,7066.844655587453,"depth 16514 ppm, duration 3.61 h, Tmag 13.24 → score 7067",830
TOI-602.01,175176327,115.825326,-36.496714,10.0465,4867.1256349,2.1987363,2459235.384395,APC,2025-06-03 16:00:01,7064.1372731681295,"depth 4867 ppm, duration 2.20 h, Tmag 10.05 → score 7064",831
TOI-5417.01,79316101,90.084691,26.353234,12.7225,14570.0,2.88,2459549.214251,PC,2024-08-22 10:08:01,7057.579771375269,"depth 14570 ppm, duration 2.88 h, Tmag 12.72 → score 7058",832
TOI-1718.01,257241363,112.018025,30.321732,8.2558,1907.0,2.745,2460278.309588,PC,2024-01-17 10:08:02,7054.429009992472,"depth 1907 ppm, duration 2.75 h, Tmag 8.26 → score 7054",833
TOI-2917.01,75744886,139.336601,-46.114722,13.0699,16220.0,3.18,2459294.120029,PC,2025-05-19 12:03:23,7035.328972174019,"depth 16220 ppm, duration 3.18 h, Tmag 13.07 → score 7035",834
TOI-6841.01,257467784,0.08468,5.044388,12.8988,13364.3594607,3.9986123,2460217.184676,PC,2024-09-20 12:02:42,7033.035298323338,"depth 13364 ppm, duration 4.00 h, Tmag 12.90 → score 7033",835
TOI-1890.01,288636599,279.744502,79.23835,11.6819,6084.3435425,6.280493,2459884.073661,PC,2023-03-22 16:02:02,7027.981275606344,"depth 6084 ppm, duration 6.28 h, Tmag 11.68 → score 7028",836
TOI-6233.01,431660224,358.489622,52.533524,11.1585,7766.0,2.38,2459876.499866,PC,2025-09-19 12:04:41,7027.257452172946,"depth 7766 ppm, duration 2.38 h, Tmag 11.16 → score 7027",837
TOI-6743.01,361403927,242.81722,-67.000306,12.2914,8420.0,5.732,2460118.469508,PC,2024-08-22 10:08:01,7017.54461436113,"depth 8420 ppm, duration 5.73 h, Tmag 12.29 → score 7018",838
TOI-3305.01,380775661,269.546056,-62.477432,12.9876,18480.0,2.257,2459388.22904,PC,2024-08-22 10:08:01,7013.709055827625,"depth 18480 ppm, duration 2.26 h, Tmag 12.99 → score 7014",839
TOI-1196.01,69068526,291.707693,17.808736,10.4318,5390.0,2.517,2459785.498161,PC,2024-11-01 12:03:14,7009.230998356492,"depth 5390 ppm, duration 2.52 h, Tmag 10.43 → score 7009",840
TOI-6126.01,129004637,341.019058,38.516276,12.2601,9174.0,4.672,2459843.27509,PC,2025-09-03 12:05:55,7003.097178009592,"depth 9174 ppm, duration 4.67 h, Tmag 12.26 → score 7003",841
TOI-1103.01,351603103,310.086743,-63.789963,10.5598,4490.0,4.073,2459037.655526,PC,2022-07-11 16:02:02,7002.345673067855,"depth 4490 ppm, duration 4.07 h, Tmag 10.56 → score 7002",842
TOI-1954.01,466113537,165.033297,-59.978409,8.9718,1704.6576752,6.5416975,2460015.194354,PC,2024-01-19 16:02:02,7000.392761549793,"depth 1705 ppm, duration 6.54 h, Tmag 8.97 → score 7000",843
TOI-1091.01,193413306,222.101134,-56.025931,9.3529,2710.0,3.674,2459359.55521,PC,2024-09-09 10:08:01,6997.757153164704,"depth 2710 ppm, duration 3.67 h, Tmag 9.35 → score 6998",844
TOI-2913.01,101588793,150.480802,-31.738573,13.3564,19070.0,2.962,2459304.456496,PC,2026-03-29 12:03:39,6996.216173819286,"depth 19070 ppm, duration 2.96 h, Tmag 13.36 → score 6996",845
TOI-6987.01,21035365,72.630009,43.065498,12.9994,17212.0,2.615,2460311.481638,PC,2025-07-22 12:04:25,6993.380915082614,"depth 17212 ppm, duration 2.62 h, Tmag 13.00 → score 6993",846
TOI-7516.01,431871952,55.886464,42.378379,13.6742,33225.0008955,1.3020438,2460652.784228,PC,2025-10-31 12:04:28,6981.324070530821,"depth 33225 ppm, duration 1.30 h, Tmag 13.67 → score 6981",847
TOI-3960.01,272785423,238.857937,67.042986,13.2091,18440.0,2.749,2459716.189621,PC,2024-08-22 10:08:01,6974.744235813648,"depth 18440 ppm, duration 2.75 h, Tmag 13.21 → score 6975",848
TOI-2195.01,24695044,34.840097,-72.708894,10.9916,7675.7705005,2.0579197,2459039.461004,PC,2024-12-05 16:02:02,6974.55002324182,"depth 7676 ppm, duration 2.06 h, Tmag 10.99 → score 6975",849
TOI-2371.01,432132155,137.31171,-19.778021,12.2036,9930.0,3.752,2459275.495126,PC,2026-07-17 12:03:25,6972.052734922122,"depth 9930 ppm, duration 3.75 h, Tmag 12.20 → score 6972",850
TOI-5000.01,179230828,158.600019,-23.73406,12.6702,14910.0,2.556,2459302.141318,PC,2024-08-22 10:08:01,6969.763924517307,"depth 14910 ppm, duration 2.56 h, Tmag 12.67 → score 6970",851
TOI-3198.01,121625070,225.760711,-37.303281,12.6029,14960.0,2.386,2459359.016777,PC,2024-08-22 10:08:01,6969.262347485975,"depth 14960 ppm, duration 2.39 h, Tmag 12.60 → score 6969",852
